Phenotype ID:,ITP_10003
Phenotype URL: ,http://genenetwork.org/show_trait?trait_id=10003&dataset=HET3-ITPPublish
Group: ,HET3-ITP
Phenotype: ,"Aging"","" metabolism: Body weight at 12 months of age [g]"
Authors: ,HET3_ITP team
Title: ,Genetics of longevity in ITP mice
Journal: ,N/A
Dataset Link: ,http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=HET3-ITPPublish
Export Date: ,"November 14, 2024"
Export Time: ,11:39 GMT
Index,Name,Value,Sex,Age,DOB,Drug/Site,Site,Year,SNP,Tx,DOD,MOD,Platform,Date Geno,MBS2022,DA2024
1,JL00005,x,M,896,4/22/04,4OHPBN_J,JL,2004,0,1,10/5/06,Oct,,,0,0
2,JL00006,x,M,1077,4/22/04,4OHPBN_J,JL,2004,0,1,4/4/07,Apr,,,0,0
3,JL00007,x,M,790,4/22/04,4OHPBN_J,JL,2004,0,1,6/21/06,Jun,,,0,0
4,JL00032,x,M,916,4/21/04,Cont_04_J,JL,2004,1,0,10/24/06,Oct,M,2017.06,0,0
5,JL00033,x,M,1099,4/21/04,Cont_04_J,JL,2004,0,0,4/25/07,Apr,,,0,0
6,JL00034,x,M,666,4/21/04,Cont_04_J,JL,2004,1,0,2/16/06,Feb,M,2017.06,0,1
7,JL00039,x,M,1070,4/24/04,NFP_J,JL,2004,2,1,3/30/07,Mar,M,2018.08,0,0
8,JL00040,x,M,1090,4/25/04,NFP_J,JL,2004,1,1,4/20/07,Apr,M,2017.06,0,1
9,JL00041,x,M,869,4/26/04,NFP_J,JL,2004,1,1,9/12/06,Sep,M,2018.08,0,1
10,JL00042,x,M,665,4/22/04,Aspirin_J,JL,2004,0,2,2/16/06,Feb,,,0,0
11,JL00043,x,M,1008,4/22/04,Aspirin_J,JL,2004,0,2,1/25/07,Jan,,,0,0
12,JL00044,x,M,1131,4/22/04,Aspirin_J,JL,2004,0,2,5/28/07,May,,,0,0
13,JL00045,x,M,957,4/22/04,Cont_04_J,JL,2004,1,0,12/5/06,Dec,M,2017.06,0,0
14,JL00046,x,M,553,4/22/04,Cont_04_J,JL,2004,1,0,10/27/05,Oct,M,2017.06,0,1
15,JL00057,x,M,1112,4/22/04,Cont_04_J,JL,2004,0,0,5/9/07,May,,,0,0
16,JL00058,x,M,686,4/22/04,Cont_04_J,JL,2004,1,0,3/9/06,Mar,M,2017.06,0,1
17,JL00059,x,M,924,4/22/04,Cont_04_J,JL,2004,1,0,11/2/06,Nov,M,2017.06,0,0
18,JL00060,x,M,292,4/22/04,Cont_04_J,JL,2004,1,0,2/8/05,Feb,M,2018.08,0,1
19,JL00061,x,F,800,4/20/04,Cont_04_J,JL,2004,1,0,6/29/06,Jun,M,2017.06,0,0
20,JL00062,x,F,800,4/21/04,Cont_04_J,JL,2004,1,0,6/30/06,Jun,M,2017.06,0,1
21,JL00063,x,F,1000,4/22/04,Cont_04_J,JL,2004,1,0,1/17/07,Jan,M,2017.06,0,1
22,JL00064,x,F,700,4/23/04,Cont_04_J,JL,2004,1,0,3/24/06,Mar,M,2017.06,0,1
23,JL00071,x,F,625,4/19/04,Aspirin_J,JL,2004,0,2,1/4/06,Jan,,,0,0
24,JL00072,x,F,856,4/19/04,Aspirin_J,JL,2004,0,2,8/23/06,Aug,,,0,0
25,JL00073,x,F,842,4/19/04,Aspirin_J,JL,2004,0,2,8/9/06,Aug,,,0,0
