UMN	Site	Sex	Rx	W42d	W90d	W120d	W6mo	W12mo	W18mo	W24mo	Cohort
UM13078	UM	F	Sim_hi	17.3	15.9	23	26	26.1	27.8		C2006
UM13085	UM	F	Sim_hi	17.8	28.5	25	26.7	35.8	37.4		C2006
UM13092	UM	F	Sim_hi	18.7	29.1	27.3	33.4	39.5	45.9		C2006
UM13099	UM	F	Sim_hi	17.8	26.5	25.1	26.7	31.7	35.9		C2006
UM13106	UM	M	Sim_hi	23.6	24.3	30	32.6	40.6	36.3		C2006
UM13113	UM	M	Sim_hi	21.3	22.5	29.9	32.9	37.7	39.5		C2006
UM13120	UM	M	Sim_hi	23.9	29.1	32.7	35.4	43.3	43.2		C2006
UM13127	UM	F	Res_hi3	17.5	20.9	25.3	27.1	33.1	36.1		C2006
UM13134	UM	F	Res_hi3	19.6	22.7	27.1	27.8	32	30.9		C2006
UM13141	UM	F	Res_hi3	16.5	20.1	21.6	25.4	26.2	25.2		C2006
UM13148	UM	F	Res_hi3	18	21.1	22.8	23.3	30.6	32.2		C2006
UM13155	UM	M	Sim_hi	24	31	34.1	36	44	36.2		C2006
UM13162	UM	M	Sim_hi	23.6	26.5	32.8	38.9	45.5	48		C2006
UM13169	UM	M	Sim_hi	23	27.7	29.5	32.5	39.7	48.4		C2006
UM13176	UM	M	Rapa_Y3	24.3	29.2	34.8	41.5	45.2			C2006
UM13183	UM	M	Rapa_Y3	22.8	23.8	31.5	35.8	38.9	39		C2006
UM13190	UM	M	Rapa_Y3	22.1	26.3	32.1	37.1	43.5	44.5		C2006
UM13197	UM	F	Cont_Y3	20	24.9	27.6	36.9	47.8	44.7		C2006
UM13204	UM	F	Cont_Y3	19.8	21.2	25.8	28.8	34.4	34.5		C2006
UM13211	UM	F	Cont_Y3	18.3	16	21.8	22.9	26.9			C2006
UM13218	UM	F	Cont_Y3	18.5	20.5	22.7	26	32.9	32.8		C2006
UM13225	UM	M	Rapa_Y3	25	29.9	35.4	36.7	40.5	43.2		C2006
UM13232	UM	M	Rapa_Y3	25.5	32.3	34.1	35.1	35.4	36.5		C2006
UM13239	UM	M	Rapa_Y3	25.6	26.8	32.4	33.1	33.4	32.1		C2006
UM13246	UM	M	Sim_lo	25.5	31.5	33	33.4	35.8	37.3		C2006
UM13253	UM	M	Sim_lo	24.2	29.1	31.5	32.8	38.9	40.4		C2006
UM13260	UM	M	Sim_lo	24.1	30.1	34.6	34.4	40.6	44.7		C2006
UM13267	UM	M	Res_lo3	21	26.2	28.9	32	37.7	36.6		C2006
UM13274	UM	M	Res_lo3	25.7							C2006
UM13281	UM	M	Res_lo3	27.4	34.3	38.8	45	48.4	51.2		C2006
UM13288	UM	F	Res_lo3	20.2	23.8	26.9	28.5	32.9	35.8		C2006
UM13295	UM	F	Res_lo3	18.5	23.6	24.5	28.8	31.6	28.9		C2006
