ID	Affects	Chr	Top	CH	CD	BH	BD	MAP
Vita1a	B	1	3,010,272	10 ± 4.01	-18 ± 5.20	7 ± 4.28	-20 ± 5.14	4-way
Vita1b	B	1	24,042,124	-5 ± 4.08	2 ± 4.24	10 ± 3.37	-27 ± 5.55	4-way
Vita1c	M	1	120,474,787	9 ± 7.08	5 ± 7.55	8 ± 6.98	-27 ± 8.67	4-way
Vita2a	M	2	89,844,287	-36 ± 11.77	36 ± 10.34	-17 ± 10.6	19 ± 9.68	4-way
Vita2b	B	2	112,712,327	12 ± 4.24	-4 ± 3.97	6 ± 3.92	-13 ± 3.67	4-way
Vita2c	F	2	148,442,635	13 ± 6.3	-11 ± 6.49	11 ± 5.94	-13 ± 3.67	4-way
Vita3a	M	3	83,838,529	-12 ± 5.64	-11 ± 5.99	14 ± 8.48	11 ± 6.67	4-way
Vita3b	F	3	92,135,706	11 ± 5.61	-3 ± 6.01	-19 ± 5.8	11 ± 6.07	4-way
Vita4a	B	4	52,524,395	-27 ± 5.97	-5 ± 6.25	6 ± 6.1	26 ± 6.02	4-way
Vita5a	M	5	67,573,068	-8 ± 6.15	-18 ± 6.24	2 ± 6.65	18 ± 7.82	4-way
Vita6a	B	6	107,382,038	8 ± 6.79	-20 ± 7.31	27 ± 7.15	-13 ± 7.59	4-way
Vita6b	M	6	132,762,500	-7 ± 7.1	-14 ± 7.4	33 ± 7.11	-8 ± 7.47	4-way
Vita9a 	F	9	29,939,029	24 ± 9.78	10 ± 8.38	-6 ± 10.55	-26 ± 11.23	4-way
Vita9b	B	9	104,091,597	7 ± 4.22	3 ± 3.89	6 ± 4.10	-17 ± 3.44	4-way
Vita9c	M	9	124,056,586	4 ± 7.26	12 ± 6.52	-9 ± 7.08	-8 ± 6.22	4-way
Vita10a	B	10	72,780,332	11 ± 3.68	1 ± 3.40	-12 ± 3.35	1 ± 3.68	4-way
Vita11a	M	11	5,628,810	21 ± 5.90	-1 ± 5.52	-4 ± 5.98	-15 ± 5.72	4-way
Vita11b	F	11	82,178,599	-15 ± 4.10	1 ± 6.29	0 ± 5.27	15 ± 5.44	4-way
Vita12a	B	12	112,855,820	-5 ± 3.94	15 ± 3.96	-12 ± 3.93	2 ± 3.90	4-way
Vita13a	B	13	89,689,878	-16 ± 5.01	-6 ± 4.98	11 ± 4.88	11 ± 4.88	4-way
Vita14a	B	14	101,437,457	12 ± 3.85	-4 ± 4.00	-6 ± 3.85	-3 ± 4.10	4-way
Vita15a	B	15	74,248,242	-7 ± 3.43	-9 ± 3.24	4 ± 3.49	12 ± 3.54	4-way
Vita17a	B	17	32,883,804	10 ± 4.06	7 ± 4.15	-13 ± 3.82	-4 ± 4.01	4-way
Vita18a	B	18	60,822,951	11 ± 4.89	11 ± 4.86	-14 ± 5.18	-9 ± 5.16	4-way
VitaXa	B	X	36,008,085	-5 ± 4.35	-10 ± 5.63	-4 ± 4.51	20 ± 5.61	4-way
VitaXb	B	X	156,343,080	32 ± 8.91	-2 ± 4.63	1 ± 3.50	-9 ± 4.85	4-way
